brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Unacademy,unacademy.com,@unacademy,Edtech/Coach,90,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Unacademy,Website,3,2-4 Cr,"Influencer-led, student-story UGC thin",care@unacademy.com,2,2026-09-12T04:22:42.261268
PharmEasy,pharmeasy.in,@pharmeasyapp,Health e-commerce,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=PharmEasy,Website,3,1-2 Cr,"Discount-heavy, trust UGC gap",care@pharmeasy.in,2,2026-09-12T04:22:42.261268
Livspace,livspace.com,@livspace,Home Interiors,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Livspace,Lead Form,5,2-4 Cr,"Lead-form heavy, 3D walkthrough UGC gap",care@livspace.com,2,2026-09-12T04:22:42.261268
Man Matters,manmatters.com,@manmattersindia,Men's Wellness,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Man%20Matters,Website,3,1-2 Cr,"Consult-led, testimonial Reels thin",care@manmatters.com,2,2026-09-12T04:22:42.261268
Tata 1mg,1mg.com,@1mgofficial,Health e-commerce,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Tata%201mg,Website,3,1-2 Cr,"Deal-led, consult-story UGC thin",care@1mg.com,2,2026-09-12T04:22:42.261268
Campus,campusshoes.com,@campusshoes,Footwear,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Campus,Website,5,1-2 Cr,"Hero-led static, walk-test UGC low",care@campusshoes.com,2,2026-09-12T04:22:42.261268
GIVA,giva.co,@giva.co,Jewelry,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=GIVA,Website,5,60-90L,"Silver static-heavy, stack-ritual UGC thin",care@giva.co,2,2026-09-12T04:22:42.261268
Urban Company,urbancompany.com,@urbancompany,Home Services,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Urban%20Company,Website,3,2-3 Cr,"Service-led, before/after UGC thin",care@urbancompany.com,2,2026-09-12T04:22:42.261268
Fire-Boltt,fireboltt.com,@fireboltt,D2C Wearables,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Fire-Boltt,Website,5,40-80L,"Spec-led static, lifestyle UGC thin",care@fireboltt.com,2,2026-09-12T04:22:42.261268
Kapiva,kapiva.in,@kapiva_ayurveda,Ayurveda/Nutrition,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Kapiva,Website,5,60-90L,"Ayurvedic ritual UGC gap, static-heavy",care@kapiva.in,2,2026-09-12T04:22:42.261268
Pristyn Care,pristyncare.com,@pristyncare,Healthcare,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pristyn%20Care,Lead Form,5,1-2 Cr,"Surgery journey UGC gap, generic retargeting",care@pristyncare.com,2,2026-09-12T04:22:42.261268
Simplilearn,simplilearn.com,@simplilearn_elearning,Edtech/Coach,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Simplilearn,Website,3,1-2 Cr,"Certification-led, career-outcome UGC gap",care@simplilearn.com,2,2026-09-12T04:22:42.261268
Bella Vita Organic,bellavitaorganic.com,@bellavitaorganic,Beauty/Perfume,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bella%20Vita%20Organic,Website,5,40-70L,"Perfume SKUs static-heavy, scent-story UGC thin",care@bellavitaorganic.com,2,2026-09-12T04:22:42.261268
HomeLane,homelane.com,@homelane,Home Interiors,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HomeLane,Lead Form,7,1-2 Cr,"Before/after static, video tours thin",care@homelane.com,2,2026-09-12T04:22:42.261268
Libas,libas.in,@libasindia,Ethnic Wear,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Libas,Website,5,1-2 Cr,"Lookbook static, try-on Reels thin",care@libas.in,2,2026-09-12T04:22:42.261268
Lodha,lodhagroup.com,@lodhagroup,Real Estate,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Lodha,Lead Form,7,60-90L,"Project static, lifestyle video gap",care@lodhagroup.com,2,2026-09-12T04:22:42.261268
Nutrabay,nutrabay.com,@nutrabay,Sports Nutrition,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Nutrabay,Website,3,50-80L,"Price-led, result-story UGC thin",care@nutrabay.com,2,2026-09-12T04:22:42.261268
Vedantu,vedantu.com,@vedantu.learn,Edtech/Coach,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Vedantu,Website,3,1-2 Cr,"Live-class demo thin, testimonial UGC low",care@vedantu.com,2,2026-09-12T04:22:42.261268
Atomberg,atomberg.com,@atombergtech,Home Appliances,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Atomberg,Website,3,50-80L,"Tech demo overused, home-use UGC gap",care@atomberg.com,2,2026-09-12T04:22:42.261268
Biba,biba.in,@biba.in,Ethnic Wear,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Biba,Website,5,1-2 Cr,"Festive static, styling UGC low",care@biba.in,2,2026-09-12T04:22:42.261268
Dr. Sheth's,drshc.com,@drshths,D2C Skincare,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr.%20Sheth's,Website,3,40-60L,"Derm-led but offer-heavy, demo Reels thin",care@drshc.com,2,2026-09-12T04:22:42.261268
Duroflex,duroflexworld.com,@duroflexworld,Sleep/Mattress,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Duroflex,Website,3,1-2 Cr,"Celebrity-led, customer-story UGC low",care@duroflexworld.com,2,2026-09-12T04:22:42.261268
Furlenco,furlenco.com,@furlenco,Furniture Rental,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Furlenco,Website,3,50-80L,"Rental value prop, room-tour UGC thin",care@furlenco.com,2,2026-09-12T04:22:42.261268
Oziva,oziva.in,@oziva.wellness,Nutrition,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Oziva,Website,5,40-70L,"Plant-protein static, taste-test gap",care@oziva.in,2,2026-09-12T04:22:42.261268
Powerlook,powerlook.in,@powerlook.in,D2C Fashion,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Powerlook,Website,5,40-70L,"Menswear static, fit-test Reels missing",care@powerlook.in,2,2026-09-12T04:22:42.261268
Scaler,scaler.com,@scaler.technology,Edtech/Coach,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Scaler,Website,3,1-2 Cr,"Alumni story UGC thin, offer-led",care@scaler.com,2,2026-09-12T04:22:42.261268
The Moms Co,themomsco.com,@themomsco,Baby Care,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Moms%20Co,Website,3,40-70L,"Safety story strong, demo UGC low",care@themomsco.com,2,2026-09-12T04:22:42.261268
Toothsi,toothsi.in,@toothsi,Dental/Aligners,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Toothsi,Lead Form,5,40-70L,"Smile-makeover demo thin, review UGC low",care@toothsi.in,2,2026-09-12T04:22:42.261268
Beyoung,beyoung.in,@beyoung.in,D2C Fashion,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Beyoung,Website,5,20-40L,"Graphic tee static, no haul Reels",care@beyoung.in,2,2026-09-12T04:22:42.261268
Earth Rhythm,earthrhythm.com,@earthrhythm,Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Earth%20Rhythm,Website,3,20-40L,"Discount flights, routine demo UGC gap",care@earthrhythm.com,2,2026-09-12T04:22:42.261268
Caprese,capresebags.com,@capresebags,D2C Bags,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Caprese,Website,3,1-2 Cr,"Catalog ads only, no lifestyle UGC",care@capresebags.com,2,2026-09-12T04:22:42.261268
Dot & Key,dotandkey.skincare,@dotandkey,Skincare,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dot%20&%20Key,Website,5,20-40L,"Static packs, no demo",care@dotandkey.skincare,2,2026-09-12T04:22:42.261268
