brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,found_at
Brigade Group,brigadegroup.com,@brigadegroup,Bangalore Real Estate,22,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Brigade%20Group,Lead Form,7,10-15L,"22 ads static, no walkthrough video",contact@brigadegroup.com,2026-09-10T05:38:26.431131
Zouk,zouk.co.in,@zouk,D2C Bags,18,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Zouk,Website,7,15-25L,"All static, zero UGC, slow site 4.2s",contact@zouk.co.in,2026-09-10T05:38:26.431144
Prestige Group,prestigeconstructions.com,@prestige.group,Real Estate,28,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Prestige%20Group,Lead Form,7,20-30L,"28 ads corporate, no UGC testimonial",contact@prestigeconstructions.com,2026-09-10T05:38:26.431192
Adarsh Group,adarshdevelopers.com,@adarshgroup,Bangalore Real Estate,14,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Adarsh%20Group,Lead Form,6,5-10L,"Static posters, no video walkthrough, no Kannada ads",contact@adarshdevelopers.com,2026-09-10T05:38:26.431104
Plum,plumgoodness.com,@plumgoodness,D2C Skincare,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plum,Website,6,2-3 Cr,"80% static, no UGC, creative fatigue",contact@plumgoodness.com,2026-09-10T05:38:26.431107
Dr Batra's Bangalore,drbatras.com,@drbatras,Clinic,11,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr%20Batra's%20Bangalore,WhatsApp,6,2-3L,"11 ads to WhatsApp, no catalog, 3hr reply",contact@drbatras.com,2026-09-10T05:38:26.431141
Bare Anatomy,bareanatomy.com,@bareanatomy,D2C Beauty,22,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bare%20Anatomy,Website,6,10-20L,"No transformation video, only static before/after",contact@bareanatomy.com,2026-09-10T05:38:26.431165
Oliva Clinic,olivaclinic.com,@olivaclinic,Skin Clinic,12,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Oliva%20Clinic,WhatsApp,6,2-4L,"12 ads, no highlights on IG",contact@olivaclinic.com,2026-09-10T05:38:26.431172
Country Delight,countrydelight.in,@countrydelight,F&B Subscription,28,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Country%20Delight,Website,6,4-5 Cr,28 ads subscription but no UGC,contact@countrydelight.in,2026-09-10T05:38:26.431203
Godrej Properties,godrejproperties.com,@godrejproperties,Real Estate,32,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Godrej%20Properties,Lead Form,5,15-20L,32 ads Pan-India same creative,contact@godrejproperties.com,2026-09-10T05:38:26.431113
Kosmoderma,kosmoderma.com,@kosmoderma,Skin Clinic,8,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Kosmoderma,WhatsApp,5,1-2L,"8 ads static poster, no before/after",contact@kosmoderma.com,2026-09-10T05:38:26.431136
The Sleep Company,thesleepcompany.in,@thesleepcompany,Sleep,22,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Sleep%20Company,Website,4,3-4 Cr,22 ads same angle,contact@thesleepcompany.in,2026-09-10T05:38:26.431085
Bewakoof,bewakoof.com,@bewakoof,Apparel,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bewakoof,Website,4,3-4 Cr,2.8-3.6x ROAS but same meme angle,contact@bewakoof.com,2026-09-10T05:38:26.431123
Wow Skin Science,wowskinscience.com,@wowskinscience,Personal Care,28,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wow%20Skin%20Science,Website,4,2-3 Cr,"Discount only, no ingredient story",contact@wowskinscience.com,2026-09-10T05:38:26.431128
