brand,website,instagram,segment,segment_label,city,state,capacity,active_ads,destination,spend_est,score,pitch_fit,leak,ad_library_link,google_ads_link,pm_surya_ghar_vendor_check,data_source,verify,day_found,found_at
Amplus Solar,amplussolar.com,@amplus.solar,B,B2B / C&I rooftop EPC,Gurugram,Haryana,100 kW-10 MW,60,Lead Form,3-8L/mo,6,"LOW - in-house team, do not cold pitch",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Amplus+Solar,https://adstransparency.google.com/?region=IN&domain=amplussolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.801553
Freyr Energy,freyrenergy.com,@freyr_energy,R,Residential rooftop EPC,Hyderabad,Telangana,3-10 kW,23,WhatsApp,3-8L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",No lead-capture before 'Check my savings' calculator (traffic wasted),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Freyr+Energy,https://adstransparency.google.com/?region=IN&domain=freyrenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.801995
Solex Energy,solexenergy.com,@solexenergy,B,B2B / C&I rooftop EPC,Surat,Gujarat,all,33,Lead Form,8-20L/mo,6,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No LinkedIn ABM layer while running broad Meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Solex+Energy,https://adstransparency.google.com/?region=IN&domain=solexenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.802081
RenewSys India,renewsys.com,@renewsys,B,B2B / C&I rooftop EPC,Bengaluru,Karnataka,all,20,Website,8-20L/mo,4,"LOW - in-house team, do not cold pitch",No case-study PDF or site-survey scheduler for facility heads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=RenewSys+India,https://adstransparency.google.com/?region=IN&domain=renewsys.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.802146
Mahindra Susten,mahindrasusten.com,@mahindra_susten,B,B2B / C&I rooftop EPC,Mumbai,Maharashtra,1 MW+,4,WhatsApp,3-8L/mo,3,"LOW - in-house team, do not cold pitch",No case-study PDF or site-survey scheduler for facility heads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Mahindra+Susten,https://adstransparency.google.com/?region=IN&domain=mahindrasusten.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.802986
Vikram Solar,vikramsolar.com,@vikramsolar,B,B2B / C&I rooftop EPC,Kolkata,West Bengal,all,54,Website,<1L/mo,4,"LOW - in-house team, do not cold pitch",No LinkedIn ABM layer while running broad Meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Vikram+Solar,https://adstransparency.google.com/?region=IN&domain=vikramsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803117
Insolation Energy,insolationenergy.in,@insolationenergy,B,B2B / C&I rooftop EPC,Jaipur,Rajasthan,all,5,Website,20L+/mo,3,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Insolation+Energy,https://adstransparency.google.com/?region=IN&domain=insolationenergy.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803189
CRI Pumps Solar,cripumps.com,@cripumps,B,B2B / C&I rooftop EPC,Coimbatore,Tamil Nadu,solar pump,56,Lead Form,8-20L/mo,6,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=CRI+Pumps+Solar,https://adstransparency.google.com/?region=IN&domain=cripumps.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803263
Gautam Solar,gautamsolar.com,@gautamsolar,B,B2B / C&I rooftop EPC,New Delhi,Delhi,all,9,Website,1-3L/mo,3,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No LinkedIn ABM layer while running broad Meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Gautam+Solar,https://adstransparency.google.com/?region=IN&domain=gautamsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803334
Microtek Solar,microtekdirect.com,@microtek_india,C,D2C solar products,New Delhi,Delhi,1-10 kW,27,WhatsApp,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Amazon/Flipkart listings not linked from ads (trust gap),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Microtek+Solar,https://adstransparency.google.com/?region=IN&domain=microtekdirect.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803397
Navitas Solar,navitassolar.in,@navitassolar,B,B2B / C&I rooftop EPC,Surat,Gujarat,all,24,Lead Form,20L+/mo,6,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Ads target homeowners while also bidding on C&I keywords - wasted budget,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Navitas+Solar,https://adstransparency.google.com/?region=IN&domain=navitassolar.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803463
Fourth Partner Energy,fourthpartner.co,@fourthpartnerenergy,B,B2B / C&I rooftop EPC,Hyderabad,Telangana,50 kW-5 MW,30,Phone Call,20L+/mo,4,"LOW - in-house team, do not cold pitch",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Fourth+Partner+Energy,https://adstransparency.google.com/?region=IN&domain=fourthpartner.co,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803523
Gensol Engineering,gensol.in,@gensolengineering,B,B2B / C&I rooftop EPC,Ahmedabad,Gujarat,10 kW-1 MW,2,Phone Call,<1L/mo,2,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No ROI / payback calculator gated behind form on site,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Gensol+Engineering,https://adstransparency.google.com/?region=IN&domain=gensol.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803618
SolarSquare,solarsquare.in,@solarsquare_india,R,Residential rooftop EPC,Mumbai,Maharashtra,3-10 kW,13,Phone Call,3-8L/mo,4,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",Landing page loads 4s+ on mobile 4G,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=SolarSquare,https://adstransparency.google.com/?region=IN&domain=solarsquare.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803687
Swelect Energy Systems,swelect.com,@swelectenergy,C,D2C solar products,Chennai,Tamil Nadu,1-100 kW,25,Website,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Zero UGC / unboxing reels - all studio product shots,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Swelect+Energy+Systems,https://adstransparency.google.com/?region=IN&domain=swelect.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803746
Tata Power Solar,tatapowersolar.com,@tatapowersolar,B,B2B / C&I rooftop EPC,Bengaluru,Karnataka,all,30,WhatsApp,20L+/mo,6,"LOW - in-house team, do not cold pitch",No ROI / payback calculator gated behind form on site,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Tata+Power+Solar,https://adstransparency.google.com/?region=IN&domain=tatapowersolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803801
Goldi Solar,goldisolar.com,@goldisolar,B,B2B / C&I rooftop EPC,Surat,Gujarat,all,7,Phone Call,8-20L/mo,3,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Goldi+Solar,https://adstransparency.google.com/?region=IN&domain=goldisolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803854
Ayana Renewable Power,ayanarenewable.com,@ayanarenewable,B,B2B / C&I rooftop EPC,Bengaluru,Karnataka,1 MW+,55,Website,3-8L/mo,4,"LOW - in-house team, do not cold pitch",No case-study PDF or site-survey scheduler for facility heads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Ayana+Renewable+Power,https://adstransparency.google.com/?region=IN&domain=ayanarenewable.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803967
Smarten Power Systems,smarten.in,@smartensolar,C,D2C solar products,Gurugram,Haryana,1-10 kW,30,Lead Form,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Shipping/delivery timeline hidden - key objection unanswered,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Smarten+Power+Systems,https://adstransparency.google.com/?region=IN&domain=smarten.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804032
Okaya Power,okaya.co.in,@okayapower,C,D2C solar products,New Delhi,Delhi,1-10 kW,36,Website,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Product page has no subsidy eligibility note for residential buyers,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Okaya+Power,https://adstransparency.google.com/?region=IN&domain=okaya.co.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804091
Rayzon Solar,rayzonsolar.com,@rayzonsolar,B,B2B / C&I rooftop EPC,Surat,Gujarat,all,12,Phone Call,8-20L/mo,3,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Rayzon+Solar,https://adstransparency.google.com/?region=IN&domain=rayzonsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804146
Luminous Solar,luminousindia.com,@luminousindia,C,D2C solar products,Gurugram,Haryana,1-10 kW,34,Website,20L+/mo,5,"LOW - in-house team, do not cold pitch",No COD / EMI visibility in ads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Luminous+Solar,https://adstransparency.google.com/?region=IN&domain=luminousindia.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804201
