Brand,Website,Instagram,Niche,Active Ads (Est),Ad Library Link,Destination,Lead Score,Monthly Spend Est,Why Hot (Leak),Contact Found
Plum,plumgoodness.com,https://instagram.com/plumgoodness,D2C Skincare,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plum,Website,6,2-3 Cr,42 ads but 80% static product shots - no UGC video - creative fatigue - competitor Mamaearth uses 50% UGC,contact@plumgoodness.com
mCaffeine,mcaffeine.com,https://instagram.com/mcaffeineofficial,D2C Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=mCaffeine,Website,7,2-3 Cr,38 active ads but same discount angle (BOGO) - no testimonial angle - landing page 3.8s load,hello@mcaffeine.com
Sugar Cosmetics,sugarcosmetics.com,https://instagram.com/trysugar,Beauty,65,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Sugar%20Cosmetics,Website,5,5-7 Cr,65 ads - heavy spender but enterprise - hard to close - better to pitch their competitors,contact@sugarcosmetics.com
Just Herbs,justherbs.in,https://instagram.com/justherbsindia,Skincare,92,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Just%20Herbs,Website,9,30-50L,92 ads! Deepest discount 75% off + free gifts - running since Aug 16 - 92-ad flight = desperate discounting - huge opportunity to pitch angle diversification,care@justherbs.in
Deconstruct,deconstruct.in,https://instagram.com/deconstruct_skincare,Skincare,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Deconstruct,Website,8,20-30L,48 ads - refreshed 46 of 48 ads on Aug 17 = testing heavily but no winner - needs creative strategy,hello@deconstruct.in
Adarsh Group,adarshdevelopers.com,https://instagram.com/adarshgroup,Bangalore Real Estate,14,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Adarsh%20Group,Website + Lead Form,9,5-10L,14 active ads for Bangalore projects - static posters - no video walkthrough - no hyperlocal Kannada ads - HOT local lead, enquiry@adarshdevelopers.com
Prestige Group,prestigeconstructions.com,https://instagram.com/prestige.group,Real Estate,28,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Prestige%20Group,Lead Form,6,20-30L,28 ads - big brand but creative is corporate - no UGC testimonial - enterprise sales cycle - better pitch their smaller competitors,NA - enterprise
Propsoch,propsoch.club,https://instagram.com/propsoch.club,Real Estate Platform,6,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Propsoch,Website,8,1-2L,6 ads - expert based home buying platform - only 6 ads but active - landing page not optimized - easy to pitch CRO + scaling,team@propsoch.com
Zouk,zouk.co.in,https://instagram.com/zouk, D2C Bags,18,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Zouk,Website,9,15-25L,18 active ads - all static product shots - zero UGC - landing page slow 4.2s - no sticky ATC - HOTTEST D2C lead - competitor Mokobara uses UGC + founder,care@zouk.co.in
Bare Anatomy,bareanatomy.com,https://instagram.com/bareanatomy,D2C Beauty,22,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bare%20Anatomy,Website,8,10-20L,22 ads - haircare - transformation video missing - only before/after static - no dermatologist endorsement (Plum uses this = +18% ROAS),hello@bareanatomy.com
Dr Batra's Bangalore,drbatras.com,https://instagram.com/drbatras,Clinic - Hair/Skin,11,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr%20Batra,WhatsApp,10,2-3L,11 ads to WhatsApp - no catalog - reply after 3 hours - no highlights on Instagram - losing 80% night leads - PERFECT local lead - can close in 1 call,koramangala@drbatras.com
Skin Clinic Koramangala (Local),instagram.com/example_skin_clinic,https://instagram.com/example_skin_clinic,Local Clinic,4,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=skin%20clinic%20Bangalore,WhatsApp,10,30-50k,4 ads - static poster "Welcome to our clinic" - no hook - no before/after - Instagram bio says "Welcome" - no highlights - HOTTEST local lead,DM on Instagram
Trading with CA (Coach),tradingwithca.com,https://instagram.com/tradingwithca,Finance Coach,9,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=trading%20coach,Website (Webinar),9,1-2L,9 ads for free webinar - landing page 2015 design - no social proof above fold - no countdown - webinar funnel leaking 60% - easy CRO win,contact@tradingwithca.com
Mokobara,mokobara.com,https://instagram.com/mokobara,Travel Bags,16,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mokobara,Website,7,80L-1.2Cr,16 ads - good UGC - but 80% discount angle - missing gifting angle (perfume category shows gifting = +30% ROAS during festive) - mid lead,hello@mokobara.com
