brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Brand_1162,brand1162.com,@brand1162,Coach,49,https://www.facebook.com/ads/library/?q=Brand_1162,Website,3,8L,No catalog,contact@brand1162.com,1,2026-09-10T06:34:11.647885
Brand_1452,brand1452.com,@brand1452,D2C Skincare,79,https://www.facebook.com/ads/library/?q=Brand_1452,Lead Form,5,8L,Slow site,contact@brand1452.com,1,2026-09-10T06:34:11.647900
Brand_0029,brand0029.com,@brand0029,D2C Skincare,79,https://www.facebook.com/ads/library/?q=Brand_0029,Website,5,1L,Static only,contact@brand0029.com,1,2026-09-10T06:34:11.647906
Brand_2735,brand2735.com,@brand2735,Coach,90,https://www.facebook.com/ads/library/?q=Brand_2735,Lead Form,5,4L,No catalog,contact@brand2735.com,1,2026-09-10T06:34:11.647913
Brand_2389,brand2389.com,@brand2389,Clinic,54,https://www.facebook.com/ads/library/?q=Brand_2389,WhatsApp,5,5L,No highlights,contact@brand2389.com,1,2026-09-10T06:34:11.647917
Brand_2490,brand2490.com,@brand2490,Real Estate,21,https://www.facebook.com/ads/library/?q=Brand_2490,Website,3,7L,No highlights,contact@brand2490.com,1,2026-09-10T06:34:11.647920
Brand_0633,brand0633.com,@brand0633,D2C Bags,65,https://www.facebook.com/ads/library/?q=Brand_0633,Website,3,2L,No catalog,contact@brand0633.com,1,2026-09-10T06:34:11.647924
Brand_2329,brand2329.com,@brand2329,Coach,57,https://www.facebook.com/ads/library/?q=Brand_2329,Lead Form,5,8L,No UGC,contact@brand2329.com,1,2026-09-10T06:34:11.647927
Brand_2437,brand2437.com,@brand2437,Clinic,69,https://www.facebook.com/ads/library/?q=Brand_2437,Lead Form,5,1L,Slow site,contact@brand2437.com,1,2026-09-10T06:34:11.647931
Brand_2414,brand2414.com,@brand2414,Coach,37,https://www.facebook.com/ads/library/?q=Brand_2414,Website,3,6L,No UGC,contact@brand2414.com,1,2026-09-10T06:34:11.647934
Brand_1728,brand1728.com,@brand1728,Clinic,73,https://www.facebook.com/ads/library/?q=Brand_1728,Lead Form,5,10L,No catalog,contact@brand1728.com,1,2026-09-10T06:34:11.647937
Brand_2915,brand2915.com,@brand2915,Coach,11,https://www.facebook.com/ads/library/?q=Brand_2915,WhatsApp,5,7L,Slow site,contact@brand2915.com,1,2026-09-10T06:34:11.647944
Brand_0414,brand0414.com,@brand0414,Coach,79,https://www.facebook.com/ads/library/?q=Brand_0414,Lead Form,7,1L,Static only,contact@brand0414.com,1,2026-09-10T06:34:11.647947
Brand_1600,brand1600.com,@brand1600,D2C Bags,10,https://www.facebook.com/ads/library/?q=Brand_1600,Website,3,8L,No catalog,contact@brand1600.com,1,2026-09-10T06:34:11.647950
Brand_2064,brand2064.com,@brand2064,D2C Skincare,18,https://www.facebook.com/ads/library/?q=Brand_2064,Website,3,3L,No highlights,contact@brand2064.com,1,2026-09-10T06:34:11.647953
Brand_1015,brand1015.com,@brand1015,Coach,76,https://www.facebook.com/ads/library/?q=Brand_1015,Website,3,5L,No UGC,contact@brand1015.com,1,2026-09-10T06:34:11.647957
Brand_1411,brand1411.com,@brand1411,D2C Bags,41,https://www.facebook.com/ads/library/?q=Brand_1411,Lead Form,5,8L,No catalog,contact@brand1411.com,1,2026-09-10T06:34:11.647961
Brand_2319,brand2319.com,@brand2319,D2C Skincare,75,https://www.facebook.com/ads/library/?q=Brand_2319,WhatsApp,5,3L,Slow site,contact@brand2319.com,1,2026-09-10T06:34:11.647964
Brand_0119,brand0119.com,@brand0119,D2C Skincare,58,https://www.facebook.com/ads/library/?q=Brand_0119,Website,3,6L,No highlights,contact@brand0119.com,1,2026-09-10T06:34:11.647968
Brand_1301,brand1301.com,@brand1301,Coach,12,https://www.facebook.com/ads/library/?q=Brand_1301,Website,3,8L,No catalog,contact@brand1301.com,1,2026-09-10T06:34:11.647971
Brand_2521,brand2521.com,@brand2521,Real Estate,87,https://www.facebook.com/ads/library/?q=Brand_2521,Website,5,2L,Static only,contact@brand2521.com,1,2026-09-10T06:34:11.647974
Brand_0273,brand0273.com,@brand0273,D2C Bags,9,https://www.facebook.com/ads/library/?q=Brand_0273,Lead Form,6,5L,Static only,contact@brand0273.com,1,2026-09-10T06:34:11.647978
Brand_0723,brand0723.com,@brand0723,Coach,60,https://www.facebook.com/ads/library/?q=Brand_0723,WhatsApp,5,4L,No UGC,contact@brand0723.com,1,2026-09-10T06:34:11.647982
