brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Physics Wallah,pw.live,@physicswallah,Edtech/Coach,180,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Physics%20Wallah,Website,3,5-10 Cr,"Ad load high, creative churn low, testimonial UGC thin",care@pw.live,1,2026-09-11T14:08:31.798509
boAt,boat-lifestyle.com,@boat.nirvana,D2C Electronics,140,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=boAt,Website,3,6-10 Cr,"High spend, launch-heavy, UGC review mix low",care@boat-lifestyle.com,1,2026-09-11T14:08:31.798523
Mamaearth,mamaearth.in,@mamaearth,D2C Skincare,120,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mamaearth,Website,5,5-8 Cr,"High static ratio, UGC mix thin on non-hair SKUs",care@mamaearth.in,1,2026-09-11T14:08:31.798527
upGrad,upgrad.com,@upgrad_edu,Edtech/Coach,100,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=upGrad,Lead Form,5,3-6 Cr,"Lead-form fatigue, career-story UGC thin",care@upgrad.com,1,2026-09-11T14:08:31.798530
The Derma Co,thedermaco.com,@thedermaco,D2C Skincare,95,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Derma%20Co,Website,3,3-4 Cr,"Heavy promo, few doctor-led Reels",care@thedermaco.com,1,2026-09-11T14:08:31.798534
Wakefit,wakefit.co,@wakefit,Home/Furniture,95,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wakefit,Website,3,3-5 Cr,"Mattress creatives heavy on offer, unboxing UGC thin",care@wakefit.co,1,2026-09-11T14:08:31.798537
Just Herbs,justherbs.in,@justherbsindia,Skincare,92,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Just%20Herbs,Website,3,30-50L,"92 ads, 75% off, creative fatigue",care@justherbs.in,1,2026-09-11T14:08:31.798540
Bewakoof,bewakoof.com,@bewakoof,D2C Fashion,90,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bewakoof,Website,5,3-4 Cr,"Graphic-tee static, low UGC Reels",care@bewakoof.com,1,2026-09-11T14:08:31.798549
SUGAR Cosmetics,sugarcosmetics.com,@trysugar,D2C Beauty,85,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=SUGAR%20Cosmetics,Website,3,2-4 Cr,"Flat 249 store anchor, few creator Reels",care@sugarcosmetics.com,1,2026-09-11T14:08:31.798554
BlueStone,bluestone.com,@bluestonejewel,Jewelry,85,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=BlueStone,Website,5,2-4 Cr,"Try-on AR underused, model static-heavy",care@bluestone.com,1,2026-09-11T14:08:31.798557
The Souled Store,thesouledstore.com,@thesouledstore,D2C Fashion,82,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Souled%20Store,Website,5,3-4 Cr,"Merch drops rely on static, try-on UGC missing",care@thesouledstore.com,1,2026-09-11T14:08:31.798560
Noise,noise.com,@gonoise,D2C Wearables,80,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Noise,Website,3,2-4 Cr,"Smartwatch creatives hero-led, customer UGC thin",care@noise.com,1,2026-09-11T14:08:31.798592
Cult.fit,cult.fit,@cultfit,Fitness Coach,80,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Cult.fit,Website,5,1-2 Cr,"Trainer-led static, member-transformation UGC missing",care@cult.fit,1,2026-09-11T14:08:31.798596
Beardo,beardo.in,@beardo.official,Men's Grooming,78,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Beardo,Website,5,2-3 Cr,"Heavy static, beard-oil creatives stale",care@beardo.in,1,2026-09-11T14:08:31.798599
Snitch,snitch.co.in,@snitch.co.in,D2C Fashion,75,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Snitch,Website,5,2-3 Cr,Smart-casual ads static-heavy,care@snitch.co.in,1,2026-09-11T14:08:31.798602
Country Delight,countrydelight.in,@countrydelightin,F&B/Dairy,75,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Country%20Delight,Website,5,2-3 Cr,"Milk delivery ads static, test-kitchen UGC missing",care@countrydelight.in,1,2026-09-11T14:08:31.798605
mCaffeine,mcaffeine.com,@mcaffeine,D2C Skincare,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=mCaffeine,Website,5,2-3 Cr,"Mostly static product shots, weak UGC",care@mcaffeine.com,1,2026-09-11T14:08:31.798608
The Sleep Company,thesleepcompany.in,@thesleepcompany,Home/Furniture,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Sleep%20Company,Website,3,2-3 Cr,"Grid tech demo overused, no customer stories",care@thesleepcompany.in,1,2026-09-11T14:08:31.798611
CaratLane,caratlane.com,@caratlane,Jewelry,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=CaratLane,Website,3,1-2 Cr,"Catalog-heavy, customer story UGC low",care@caratlane.com,1,2026-09-11T14:08:31.798613
Oliva Skin & Hair,olivaclinic.com,@olivaclinic,Clinic,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Oliva%20Skin%20&%20Hair,Lead Form,5,80L-1.5Cr,"Before/after risky, educational Reels thin",care@olivaclinic.com,1,2026-09-11T14:08:31.798617
Wow Skin Science,wowskinscience.com,@wowskinscienceindia,Skincare,65,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wow%20Skin%20Science,Website,3,1-2 Cr,"Search-led, weak creative variety",care@wowskinscience.com,1,2026-09-11T14:08:31.798619
The Whole Truth,thewholetruthfoods.com,@thewholetruthfoods,F&B/Nutrition,65,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Whole%20Truth,Website,3,2-3 Cr,"Ingredient-led, taste-test UGC thin",care@thewholetruthfoods.com,1,2026-09-11T14:08:31.798622
Plum Goodness,plumgoodness.com,@plumgoodness,D2C Skincare,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plum%20Goodness,Website,5,2-3 Cr,"80% static, low UGC",care@plumgoodness.com,1,2026-09-11T14:08:31.798625
Yoga Bar,yogabars.in,@yogabars,F&B/Nutrition,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Yoga%20Bar,Website,5,2-3 Cr,"Bar variant static, breakfast ritual Reels missing",care@yogabars.in,1,2026-09-11T14:08:31.798628
Clove Dental,clovedental.in,@clovedental,Clinic,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Clove%20Dental,WhatsApp,7,50-90L,"Multi-city static, implant demo missing, 2hr reply",care@clovedental.in,1,2026-09-11T14:08:31.798631
Minimalist,beminimalist.co,@beminimalist__,D2C Skincare,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Minimalist,Website,3,1-2 Cr,"Ingredient-led but slow site, thin catalog vids",care@beminimalist.co,1,2026-09-11T14:08:31.798633
