brand,website,instagram,segment,segment_label,city,state,capacity,active_ads,destination,spend_est,score,pitch_fit,leak,ad_library_link,google_ads_link,pm_surya_ghar_vendor_check,data_source,verify,day_found,found_at
Emmvee Solar,emmvee.com,@emmveesolar,C,D2C solar products,Bengaluru,Karnataka,1-100 kW,18,WhatsApp,8-20L/mo,9,"HIGH - D2C performance-led, judges you on CPL/ROAS",Zero UGC / unboxing reels - all studio product shots,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Emmvee+Solar,https://adstransparency.google.com/?region=IN&domain=emmvee.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804751
Sunlit Future,sunlitfuture.in,@sunlit.future,R,Residential rooftop EPC,Auroville,Tamil Nadu,1-10 kW,16,Lead Form,1-3L/mo,9,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",Runs generic 'Save electricity' ads - no PM Surya Ghar subsidy hook,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Sunlit+Future,https://adstransparency.google.com/?region=IN&domain=sunlitfuture.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805118
Arka Energy,arkaenergy.com,@arkaenergy,R,Residential rooftop EPC,Bengaluru,Karnataka,3-10 kW,27,Lead Form,8-20L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply","Owned by one founder page - no dedicated solar brand page, thin social proof",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Arka+Energy,https://adstransparency.google.com/?region=IN&domain=arkaenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805516
Fenice Energy,feniceenergy.com,@feniceenergy,R,Residential rooftop EPC,Chennai,Tamil Nadu,3-5 kW,23,Website,3-8L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",No EMI or subsidy explainer above the fold,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Fenice+Energy,https://adstransparency.google.com/?region=IN&domain=feniceenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804423
Freyr Energy,freyrenergy.com,@freyr_energy,R,Residential rooftop EPC,Hyderabad,Telangana,3-10 kW,23,WhatsApp,3-8L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",No lead-capture before 'Check my savings' calculator (traffic wasted),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Freyr+Energy,https://adstransparency.google.com/?region=IN&domain=freyrenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.801995
Microtek Solar,microtekdirect.com,@microtek_india,C,D2C solar products,New Delhi,Delhi,1-10 kW,27,WhatsApp,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Amazon/Flipkart listings not linked from ads (trust gap),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Microtek+Solar,https://adstransparency.google.com/?region=IN&domain=microtekdirect.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803397
Nuetech Solar,nuetechsolar.com,@nuetechsolar,C,D2C solar products,Bengaluru,Karnataka,solar water heater,35,Lead Form,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Shipping/delivery timeline hidden - key objection unanswered,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Nuetech+Solar,https://adstransparency.google.com/?region=IN&domain=nuetechsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805609
Okaya Power,okaya.co.in,@okayapower,C,D2C solar products,New Delhi,Delhi,1-10 kW,36,Website,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Product page has no subsidy eligibility note for residential buyers,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Okaya+Power,https://adstransparency.google.com/?region=IN&domain=okaya.co.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804091
Smarten Power Systems,smarten.in,@smartensolar,C,D2C solar products,Gurugram,Haryana,1-10 kW,30,Lead Form,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Shipping/delivery timeline hidden - key objection unanswered,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Smarten+Power+Systems,https://adstransparency.google.com/?region=IN&domain=smarten.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804032
Swelect Energy Systems,swelect.com,@swelectenergy,C,D2C solar products,Chennai,Tamil Nadu,1-100 kW,25,Website,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Zero UGC / unboxing reels - all studio product shots,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Swelect+Energy+Systems,https://adstransparency.google.com/?region=IN&domain=swelect.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.803746
